STATE,DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,0V,DEC,ANNUAL RAINFALL,FLOOD 
109,109003,2000,289.55,130.63,161.39,261.56,150.46,113.07,145.59,226.88,252.68,273.48,296.02,300.09,2601.4,0
109,109003,2001,321.91,123.64,211.99,409.64,114.42,157.76,171.41,141.55,186.73,259.82,214.98,167.77,2481.62,1
109,109003,2002,108.33,110.15,149.04,370.64,108.59,109.87,144.52,194.4,294.26,234.93,336.46,265.37,2426.55,1
109,109003,2003,187.95,206.91,241.65,296.69,108.79,124.81,182.16,154.07,144.02,324.84,360.99,252.73,2585.6,1
109,109003,2004,205.66,241.87,204.05,261.48,109.85,57.1,298.05,114.05,166.87,288.71,327.46,165.93,2441.07,1
109,109003,2005,62.79,145.51,181.78,212.47,185.74,91.39,184.12,191.33,174.57,313.82,211.53,242.81,2197.86,1
109,109003,2006,255.67,347.78,216.49,217.79,191.14,141.23,148.65,202.05,263.31,321.45,392.86,291.48,2989.89,1
109,109003,2007,312.06,134.02,218.11,431.92,84.93,192.24,165.32,147.61,151.48,304.78,212.3,201.4,2556.16,1
109,109003,2008,282.32,148.74,425.17,260.48,102.12,198.73,146.81,235.5,174.52,360.51,376.64,218.05,2929.58,1
109,109003,2009,245.26,205.3,320.33,216.39,85.55,119.71,138.73,191.7,211.09,232.15,313.73,372.33,2652.26,1
109,109003,2010,177.31,198.12,187.53,321.13,308.1,193.81,194.02,172.02,221.04,123.14,260.56,245.42,2602.19,1
109,109004,2000,293.62,137.48,167.2,269.35,158.6,119.33,147.05,226.76,255.81,290.29,319.57,310.24,2695.3,0
109,109004,2001,331.69,124.42,224.02,409.41,119.03,162.2,173.19,148.92,186.1,262.74,219.56,198.71,2559.97,1
109,109004,2002,109.86,107.97,153.12,365.64,119.74,111.47,143.27,198.5,293.14,232.22,342.96,281.83,2459.71,1
109,109004,2003,201.03,205.78,248.21,300.33,110.15,124.01,188.6,160.86,150.16,336.66,370.87,267.17,2663.84,1
109,109004,2004,204.71,238.45,202.95,258.05,118.87,66.48,300.72,115.92,167.96,298.17,336.3,191.65,2500.24,1
109,109004,2005,64.87,145.91,183.9,212.29,191.22,96.51,186.53,187.87,177.26,316.74,228.93,252.33,2244.37,1
109,109004,2006,258.27,353.7,217.35,214.77,195.54,148.26,147.68,201.72,265.55,314.09,395.75,312.12,3024.8,1
109,109004,2007,321.59,132.94,215.9,429.28,94.62,197.83,168.47,149.43,153.34,320.73,213.94,233.68,2631.76,1
109,109004,2008,283.2,161.01,427.87,255.56,103.91,193.2,150.8,234.05,184.39,351.92,383.81,235.25,2964.99,1
109,109004,2009,263.78,203.34,323.02,218.34,99.64,121.83,137.51,191.38,213.5,238.47,327.09,407.99,2745.9,1
109,109004,2010,179.11,193.35,189.28,318.16,308.46,195.22,200.69,170.94,220.57,126.6,263.86,263.88,2630.11,1
109,109005,2000,289.55,130.63,161.39,261.56,150.46,113.07,145.59,226.88,252.68,273.48,296.02,300.09,2601.4,0
109,109005,2001,321.91,123.64,211.99,409.64,114.42,157.76,171.41,141.55,186.73,259.82,214.98,167.77,2481.62,1
109,109005,2002,108.33,110.15,149.04,370.64,108.59,109.87,144.52,194.4,294.26,234.93,336.46,265.37,2426.55,1
109,109005,2003,187.95,206.91,241.65,296.69,108.79,124.81,182.16,154.07,144.02,324.84,360.99,252.73,2585.6,1
109,109005,2004,205.66,241.87,204.05,261.48,109.85,57.1,298.05,114.05,166.87,288.71,327.46,165.93,2441.07,1
109,109005,2005,62.79,145.51,181.78,212.47,185.74,91.39,184.12,191.33,174.57,313.82,211.53,242.81,2197.86,1
109,109005,2006,255.67,347.78,216.49,217.79,191.14,141.23,148.65,202.05,263.31,321.45,392.86,291.48,2989.89,1
